msa,saudi,egyptian,iraqi,levantine,moroccan
ساستمتع بالرحله بقدر ما استمتع بالوجهه.,بستمتع بالرحله قد ما بستمتع بالوجهه.,هستمتع بالرحله علي قد ما هستمتع بالوجهه.,راح استمتع بالرحله كد ما استمتع بالوجهه.,رح استمتع بالرحله قد ما بستمتع بالوجهه.,غادي نستمتع بالرحله قد ما نستمتع بالوجهه.
ساكون شاكراً لكل تجربه جديده.,بكون شاكر لكل تجربه جديده.,هكون شاكر لاي تجربه جديده.,راح اكون ممنون لكل تجربه جديده.,رح كون شاكر لكل تجربه جديده.,غادي نكون ممتن لكل تجربه جديده.
ساحجز رحلتي الي باريس عبر الانترنت.,بحجز رحلتي لباريس عن طريق النت.,هحجز رحلتي لباريس عن طريق النت.,راح احجز رحلتي لباريس عن طريق النت.,رح احجز سفرتي علي باريس عن طريق النت.,غادي نحجز الرحله ديالي لباريس علي طريق الانترنت.
هل لديكم غرف متاحه في الفندق؟,عندكم غرف فاضيه في الفندق؟,عندكم اوض فاضيه في الاوتيل؟,عندكم غرف فارغه بالفندق؟,في غرف فاضيه بالفندق؟,واش كاينين شي بيوت خاويه فلهوطيل؟
اريد غرفه مطله علي البحر.,ابغي غرفه مطله علي البحر.,انا عايز اوضه تطل علي البحر.,اريد غرفه مطله علي البحر.,بدي غرفه مطله علي البحر.,بغيت بيت مطل علي البحر.
ما هي تكلفه الاقامه لمده اسبوع؟,كم تكلفه السكن لمده اسبوع؟,كام تكلفه الاقامه لمده اسبوع؟,شكد تكلفه السكن لمده اسبوع؟,قديش تكلفه الاقامه لمده اسبوع؟,شحال تمن السكن لمده سيمانه؟
ابحث عن فندق ذو موقع مركزي.,ادوّر عن فندق بموقع مركزي.,بدوّر علي فندق في موقع مركزي.,ادوّر علي فندق بموقع مركزي.,عم دوّر علي فندق بموقع مركزي.,كنقلّب علي فندق فوسط لمدينه.
هل الفطور مشمول في سعر الغرفه؟,الفطور مع سعر الغرفه؟,الفطار داخل في سعر الاوضه؟,الريوگ داخل بسعر الغرفه؟,الفطور مع سعر الغرفه؟,واش الفطور داخل ف تمن البيت؟
اريد استيجار سياره صغيره اقتصاديه.,ابغي استاجر سياره صغيره اقتصاديه.,انا عايز ااجر عربيه صغيره اقتصاديه.,اريد استاجر سياره صغيره اقتصاديه.,بدي استاجر سياره صغيره اقتصاديه.,بغيت نكري طونوبيل صغيره اقتصاديه.
ما هي تكلفه استيجار السياره في اليوم؟,كم تكلفه اجار السياره في اليوم؟,كام تكلفه ايجار العربيه في اليوم؟,شكد اجره السياره باليوم؟,قديش اجره السياره باليوم؟,شحال كرا ديال الطوموبيل في النهار؟
هل احتاج الي رخصه قياده دوليه؟,هل احتاج رخصه قياده دوليه؟,انا محتاج رخصه قياده دوليه؟,احتاج رخصه قياده دوليه؟,لازم رخصه قياده دوليه؟,واش خصني نبي رخصه قياده دوليه؟
اين يمكنني استيجار دراجه هواييه؟,وين اقدر استاجر دراجه؟,فين ممكن ااجر عجل؟,وين اكدر استاجر بايسكل؟,وين فيني استاجر بسكليت؟,فين نقدر نكري واحد البيسيكليت؟
اريد حجز رحله بحريه في البحر المتوسط.,ابغي احجز رحله بحريه في البحر المتوسط.,عايز احجز رحله بحريه في البحر المتوسط.,اريد احجز رحله بحريه بالبحر المتوسط.,بدي احجز رحله بحريه بالبحر المتوسط.,بغيت نحجز رحله بحريه ف البحر الابيض المتوسط.
متي موعد مغادره العباره؟,متي موعد رحيل الفيري؟,امتي ميعاد مغادره العباره؟,متي موعد مغادره الباخره؟,متي موعد مغادره الباخره/العباره؟,فاش موعد مغادره لباطو؟
اين يمكنني شراء تذاكر القطار؟,وين اقدر اشتري تذاكر القطار؟,فين ممكن اشتري تذاكر القطر؟,وين اكدر اشتري تذاكر القطار؟,وين فيني اشتري تذاكر القطار؟,فين نقدر نشري تذاكر التران؟
هل يوجد قطار مباشر الي المدينه؟,فيه قطار دايركت للمدينه؟,فيه قطر مباشر للمدينه؟,اكو قطار مباشر للمدينه؟,فيه قطار مباشر عالمدينه؟,واش كاين شي تران ديريكت للمدينه؟
كم تستغرق الرحله بالقطار؟,كم تاخذ الرحله بالقطار؟,الرحله بالقطر تاخد قد ايه؟,شكد تاخذ الرحله بالقطار؟,قديش بتاخد الرحله بالقطار؟,شحال كتاخد الرحله بالطرين؟
اريد حجز مقعد في الدرجه الاولي.,ابغي احجز مقعد في الدرجه الاولي.,انا عايز احجز كرسي في الدرجه الاولي.,اريد احجز مقعد بالدرجه الاولي.,بدي احجز مقعد بالدرجه الاولي.,بغيت نحجز بلاصه ف لابريمير كلاس.
اين يمكنني العثور علي سياره اجره؟,وين اقدر احصل علي تكسي؟,فين ممكن الاقي تاكسي؟,وين اكدر الگه تكسي؟,وين فيني لاقي تكسي؟,فين نقدر نلقي طاكسي؟
كم سعر التذكره الي المتحف؟,كم سعر التذكره للمتحف؟,كام سعر التذكره للمتحف؟,شكد سعر التذكره للمتحف؟,قديش سعر التذكره للمتحف؟,شحال تمن التذكره للمتحف؟
ما هي اوقات زياره المعالم السياحيه؟,وش اوقات زياره المعالم السياحيه؟,ايه مواعيد زياره الاماكن السياحيه؟,شنو اوقات زياره المعالم السياحيه؟,شو اوقات زياره المعالم السياحيه؟,شنو اوقات زياره المعالم السياحيه؟
هل يوجد دليل سياحي يتحدث العربيه؟,فيه دليل سياحي يتكلم عربي؟,فيه دليل سياحي بيتكلم عربي؟,اكو دليل سياحي يحجي عربي؟,فيه دليل سياحي بيحكي عربي؟,واش كاين شي دليل سياحي كيهضر لعربيه؟
اريد زياره الاسواق التقليديه.,ابغي ازور الاسواق الشعبيه.,انا عايز ازور الاسواق الشعبيه.,اريد ازور الاسواق الشعبيه.,بدي زور الاسواق الشعبيه.,بغيت نزور الاسواق التقليديه/الشعبيه.
اريد تذوق الماكولات المحليه.,ابغي اذوق الاكل الشعبي.,عايز ادوق الاكل البلدي.,اريد اذوق الاكل الشعبي.,بدي دوق الاكل البلدي.,بغيت نجرب الماكولات البلديه.
هل يمكنني دفع الفاتوره ببطاقه الايتمان؟,هل اقدر ادفع الفاتوره ببطاقه الايتمان؟,ممكن ادفع الحساب بكارت الايتمان؟,اگدر ادفع الحساب ببطاقه الايتمان؟,فيني دافع الفاتوره بكرت الايتمان؟,واش نقدر نخلص الفاتوره بكرط الكريدِي؟
ما هي العمله المستخدمه في هذا البلد؟,وش العمله اللي تُستخدم في هالدوله؟,ايه العمله اللي بتستخدم في البلد دي؟,شنو العمله المُستَخدَمه بهاي الدوله؟,شو العمله يلي مستخدمه بهالبلد؟,شنو هي العمله اللي كتستعمل فهاد لبلاد؟
اين يمكنني صرف العمله؟,وين اقدر اصرف العمله؟,فين ممكن اغير فلوس؟,وين اكدر اصرف العمله؟,وين فيني صرف هالعمله؟,فين نقدر نصرف العمله؟
ما هو سعر الصرف اليوم؟,كم سعر الصرف اليوم؟,سعر الصرف كام النهارده؟,شكد سعر الصرف اليوم؟,شو سعر الصرف اليوم؟,شحال سعر الصرف اليوم؟
اين يقع اقرب مكتب بريد؟,وين اقرب مكتب بريد؟,فين اقرب مكتب بريد؟,وين اقرب مكتب بريد؟,وين اقرب مكتب بريد؟,فين اقرب مكتب بريد؟
اريد ارسال طرد الي بلدي.,ابغي ارسل طرد لبلدي.,انا عايز ابعت طرد لبلدي.,اريد ارسل طرد لبلدي.,بدي ابعث طرد لبلدي.,بغيت نرسل طرد لبلادي.
اين يمكنني شراء بطاقه SIM محليه؟,وين اقدر اشتري شريحه جوال محليه؟,فين ممكن اشتري شريحه محليه؟,وين اكدر اشتري شريحه محليه؟,وين فيني اشتري شريحه محليه؟,فين نقدر نشري شي شريحه د تيليفون محليه؟
